record_id,dataset_type,name,category,description,address,latitude,longitude,source_dataset
park-north-melbourne-recreation-reserve,park,North Melbourne Recreation Reserve,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Arden Street, North Melbourne, Melbourne, VIC 3051",-37.7988345257153,144.941452061463,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-princes-park,park,Princes Park,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Princes Park Drive, Carlton North, Melbourne, VIC 3054",-37.7870161727156,144.961115214367,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-argyle-square,park,Argyle Square,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Argyle Place South, Carlton, Melbourne, VIC 3053",-37.8031480577285,144.965761295089,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-kings-domain,park,Kings Domain,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"CityLink, Melbourne, VIC 3004",-37.8255239795833,144.974107925144,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-federation-square,park,Federation Square,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Flinders Street, Melbourne, VIC 3000",-37.8178516571684,144.968963600783,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-flagstaff-gardens,park,Flagstaff Gardens,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"La Trobe Street, West Melbourne, Melbourne, VIC 3003",-37.8111222889277,144.954696055235,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-westgate-park,park,Westgate Park,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Bay Trail, Port Melbourne, Melbourne, VIC 3207",-37.8314918578874,144.908824792698,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-newmarket-reserve,park,Newmarket Reserve,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Epsom Road, Kensington, Melbourne, VIC 3031",-37.7878473341234,144.922972125346,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-j-j-holland-park,park,J.J Holland Park,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Childers Street, Kensington, Melbourne, VIC 3031",-37.7982358832177,144.923837074813,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-fitzroy-gardens,park,Fitzroy Gardens,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Clarendon Street, East Melbourne, Melbourne, VIC 3002",-37.8129616331579,144.980455714669,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-richmond-football-club,park,Richmond Football Club,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"AFL Way, East Melbourne, Melbourne, VIC 3002",-37.8216740022008,144.988156318781,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-royal-botanic-gardens,park,Royal Botanic Gardens,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Australian Forest Walk, Melbourne, VIC 3004",-37.8306631583233,144.980850432751,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-darling-square,park,Darling Square,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Gipps Street, East Melbourne, Melbourne, VIC 3002",-37.81299206932,144.989062559512,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-parliament-reserve,park,Parliament Reserve,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Albert Street, East Melbourne, Melbourne, VIC 3002",-37.809852620638,144.973462202839,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-macarthur-square,park,Macarthur Square,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Macarthur Place North, Carlton, Melbourne, VIC 3053",-37.7983318676737,144.971514146104,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-shrine-of-rembrance-reserve,park,Shrine of Rembrance Reserve,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Melbourne, VIC 3004",-37.8320733992876,144.973628364465,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-treasury-gardens,park,Treasury Gardens,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Wellington Parade, East Melbourne, Melbourne, VIC 3002",-37.8143993575938,144.975952335785,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-queen-victoria-gardens,park,Queen Victoria Gardens,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Alexandra Avenue, Melbourne, VIC 3004",-37.8216381244891,144.971049530478,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-new-quay,park,New Quay,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Docklands, Melbourne, VIC 3008",-37.8152178789077,144.941617889032,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-sandridge-rail-bridge,park,Sandridge Rail Bridge,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Banana Alley, Melbourne, VIC 3000",-37.8201763042794,144.96298113724,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-birrarung-marr,park,Birrarung Marr,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Capital City Trail Main Yarra Trail, Melbourne, VIC 3000",-37.81806108403,144.97314667014,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-university-square,park,University Square,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Barry Street, Carlton, Melbourne, VIC 3053",-37.800410711209,144.960398319302,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-docklands-park,park,Docklands Park,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Collins Street, Docklands, Melbourne, VIC 3008",-37.8209956785618,144.946781702342,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-point-park,park,Point Park,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Point Park Crescent, Docklands, Melbourne, VIC 3008",-37.8233522700646,144.942102276731,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-alexandra-gardens,park,Alexandra Gardens,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Alexandra Avenue, Melbourne, VIC 3004",-37.8206051404251,144.971796067365,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-piazza-italia,park,Piazza Italia,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Piazza Italia, Carlton, Melbourne, VIC 3053",-37.8025164192523,144.965863092947,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-murchinson-square,park,Murchinson Square,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Owen Street, Carlton, Melbourne, VIC 3053",-37.8002735025371,144.973059252203,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-carlton-gardens-north,park,Carlton Gardens North,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Carlton Street, Carlton, Melbourne, VIC 3053",-37.8017690847403,144.971997551189,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-fawkner-park,park,Fawkner Park,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Armadale Street, Melbourne, VIC 3004",-37.8413996708186,144.981625667877,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-enterprize-park,park,Enterprize Park,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Aquarium Drive, Melbourne, VIC 3000",-37.820210269629,144.959276859602,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-carlton-gardens-south,park,Carlton Gardens South,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Victoria Parade, Carlton, Melbourne, VIC 3053",-37.8060684577258,144.971266479841,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-batman-park,park,Batman Park,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Rebecca Walk, Melbourne, VIC 3000",-37.8218460949601,144.956665812218,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-riverslide-skate-park,park,Riverslide Skate Park,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Boathouse Drive, Melbourne, VIC 3004",-37.8207887122448,144.972951789291,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-royal-park,park,Royal Park,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Flemington Road, Parkville, Melbourne, VIC 3052",-37.7906174256581,144.953834240647,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-yarra-park,park,Yarra Park,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"East Melbourne, Melbourne, VIC 3002",-37.820469374101,144.986671109615,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-lincoln-square,park,Lincoln Square,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Lincoln Square South, Carlton, Melbourne, VIC 3053",-37.8027919689732,144.962760852233,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
park-powlett-reserve,park,Powlett Reserve,Outdoor Space,Informal Outdoor Facility (Park/Garden/Reserve),"Grey Street, East Melbourne, Melbourne, VIC 3002",-37.8116929882498,144.987275671763,landmarks-and-places-of-interest-including-schools-theatres-health-services-spor
seat-1078745,public_seat,Seat - Stainless Steel Seat - 3m & LED lights,Seat,Seat - Stainless Steel Seat - 3m & LED lights,"Bourke Street between Swanston Street and Elizabeth Street, approximately 9m NW of Mecca, Part 299 Bourke Street, MELBOURNE VIC 3000",-37.8138492,144.9647359,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1078750,public_seat,Seat - Stainless Steel Seat - 6m & LED lights,Seat,Seat - Stainless Steel Seat - 6m & LED lights,"Bourke Street between Swanston Street and Elizabeth Street, approximately 7m South of Rationale, Part 310 Bourke Street, MELBOURNE VIC 3000",-37.8137349,144.9646445,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1078755,public_seat,Seat - Stainless Steel Seat - Swivel,Seat,Seat - Stainless Steel Seat - Swivel,"Bourke Street between Swanston Street and Elizabeth Street, approximately 10m NW of Mecca, Part 299 Bourke Street, MELBOURNE VIC 3000",-37.8138547,144.9647176,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1078757,public_seat,Seat - Stainless Steel Seat - Fixed,Seat,Seat - Stainless Steel Seat - Fixed,"Bourke Street between Swanston Street and Elizabeth Street, approximately 9m North of Mecca, Part 299 Bourke Street, MELBOURNE VIC 3000",-37.8138485,144.9648097,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1078760,public_seat,Seat - Stainless Steel Seat - Fixed,Seat,Seat - Stainless Steel Seat - Fixed,"Bourke Street between Swanston Street and Elizabeth Street, approximately 14m NE of Mecca, Part 299 Bourke Street, MELBOURNE VIC 3000",-37.8138203,144.9648778,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1078766,public_seat,Seat - Stainless Steel Seat - Fixed,Seat,Seat - Stainless Steel Seat - Fixed,"Bourke Street between Swanston Street and Elizabeth Street, approximately 9m NW of Lovisa, Shop 18, 283-297 Bourke Street, MELBOURNE VIC 3000",-37.813768,144.9650708,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1078769,public_seat,Seat - Stainless Steel Seat - Fixed,Seat,Seat - Stainless Steel Seat - Fixed,"Bourke Street between Swanston Street and Elizabeth Street, approximately 8m North of Lovisa, Shop 18, 283-297 Bourke Street, MELBOURNE VIC 3000",-37.813765,144.9651085,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1078774,public_seat,Seat - Stainless Steel Seat - Swivel,Seat,Seat - Stainless Steel Seat - Swivel,"Bourke Street between Swanston Street and Elizabeth Street, approximately 8m North of Shop 23, 283 Bourke Street, MELBOURNE VIC 3000",-37.813729,144.9652008,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
